scientific name,common name,"herb or woody","Native Delaware Leps"
Acalypha-wilkesiana,copperleaf,h,5
Acer-japanicum,"maple,w,256
Acer-negundo,"boxelder",w,256
Achillea-millefolium,yarrow,h,11
Actaea-pachypoda,baneberry,h,3
Actaea-racemosa,baneberry,h,3
Aeschynomene-americana,shyleaf,h,1
Aeschynomene-indica,jointvetch,h,1
Agalinis-purpurea,false foxglove ,h,4
Agastache-foeniculum,hyssop,h,3
Ageratina-altissima,snakeroot,h,5
Agrimonia-eupatoria,agrimony,,h,1
Agrostis-stolonifera,bent grass,h,11
Alisma-subcordatum,water plantain,h,1
Allium-cepa,onion,h,17
Alnus-glutinosa,alder,w,164
Amaranthus-retroflexus,pigweed,h,31
Amaranthus-cruentus,pigweed,h,31
Ambrosia-artemisiifolia,ragweed,h,51
